Image;BEST g PSNR;BEST PSNR;SSIM (P);Iteraciones (P);log_grad (P);theta (P);BEST g SSIM;BEST SSIM;PSNR (S);Iteraciones (S);log_grad (S);theta (S)
kodim1;30,0;26,36935758262932;0,8360417278544713;5410,0;9,973339677918544;0,551413001551466;30,0;0,8360417278544713;26,36935758262932;5410,0;9,973339677918544;0,551413001551466
kodim2;35,0;30,53991962119491;0,88838167673704;5359,0;9,098898716657526;0,5826837871499339;40,0;0,8884661299413183;30,52692838895656;5474,0;9,009377315694849;0,5744790501081337
kodim3;45,0;31,30229871560934;0,9176511851378832;5538,0;8,976414224367263;0,5566071483101817;45,0;0,9176511851378832;31,30229871560934;5538,0;8,976414224367263;0,5566071483101817
kodim4;40,0;30,37429809715873;0,8927218114454267;5487,0;9,177894424030974;0,5706782115493905;40,0;0,8927218114454267;30,37429809715873;5487,0;9,177894424030974;0,5706782115493905
kodim5;30,0;26,5135718193576;0,8696562517319486;5155,0;10,103260255752758;0,5411201001900018;30,0;0,8696562517319486;26,5135718193576;5155,0;10,103260255752758;0,5411201001900018
kodim6;30,0;27,296358880377795;0,8542439072598507;5343,0;9,770239299458098;0,5628028516387329;30,0;0,8542439072598507;27,296358880377795;5343,0;9,770239299458098;0,5628028516387329
kodim7;40,0;30,278921468252594;0,9295851739260654;5494,0;9,463107818166089;0,5454847624881929;45,0;0,9305033490341236;30,22662263458612;5593,0;9,420968309751142;0,5321523507697316
kodim8;25,0;25,62911659239348;0,8687817767112609;4773,0;10,42782763493906;0,5398338419265065;30,0;0,8703808408351946;25,54853203084853;5309,0;10,352452277325945;0,5250195896129656
kodim9;40,0;30,876249708315022;0,9237408714411384;5629,0;9,408300337740265;0,5594131229736464;45,0;0,9245682840609064;30,85293052386101;5680,0;9,370961129635958;0,5484988538790777
kodim10;40,0;30,688065634595368;0,9156070033242604;5587,0;9,360355763887156;0,555335787578897;45,0;0,9161425885055268;30,64716842694895;5654,0;9,316203477084478;0,5426895571370495
kodim11;35,0;28,541063197074163;0,86763100559214;5504,0;9,578349548088694;0,5612790513508581;35,0;0,86763100559214;28,541063197074163;5504,0;9,578349548088694;0,5612790513508581
kodim12;40,0;31,050089195816856;0,9069909943903924;5601,0;9,282098663777663;0,5680730298294858;45,0;0,907061376870443;31,048049890500423;5643,0;9,247272255790854;0,5590793514183797
kodim13;25,0;25,26051477647963;0,8240634435267983;4887,0;10,28513802974751;0,5469238003134489;25,0;0,8240634435267983;25,26051477647963;4887,0;10,28513802974751;0,5469238003134489
kodim14;30,0;27,90188153892688;0,8607790133613289;5124,0;9,766544112790385;0,5687543085960162;30,0;0,8607790133613289;27,90188153892688;5124,0;9,766544112790385;0,5687543085960162
kodim15;35,0;29,930526900311744;0,90434630295772;5139,0;9,488606096123467;0,5725299135356304;40,0;0,9055415920070994;29,917993865521503;5221,0;9,446189640564848;0,5631111079680999
kodim16;35,0;29,39829760120632;0,8674006582398213;5605,0;9,143732927707342;0,5688337298579448;35,0;0,8674006582398213;29,39829760120632;5605,0;9,143732927707342;0,5688337298579448
kodim17;40,0;30,05939669116382;0,9051918160239866;5293,0;9,35051252161001;0,5446820310007756;40,0;0,9051918160239866;30,05939669116382;5293,0;9,35051252161001;0,5446820310007756
kodim18;30,0;27,51641578924927;0,8576507352864234;5205,0;9,791992870026505;0,5612204114197765;30,0;0,8576507352864234;27,51641578924927;5205,0;9,791992870026505;0,5612204114197765
kodim19;30,0;28,297787222008832;0,872636773618957;5295,0;9,831161540278472;0,5673768558213361;35,0;0,8781522326184944;28,28499438391929;5590,0;9,752128764626171;0,5542593484178145
kodim20;35,0;28,70264614048901;0,9271742633420796;4796,0;9,595200345069436;0,5727641380037533;35,0;0,9271742633420796;28,70264614048901;4796,0;9,595200345069436;0,5727641380037533
kodim21;35,0;28,214041084019566;0,8929215615423846;5623,0;9,691093738150515;0,5524782985673281;35,0;0,8929215615423846;28,214041084019566;5623,0;9,691093738150515;0,5524782985673281
kodim22;35,0;28,971205077931373;0,8669910816585266;5531,0;9,410733558181;0,5705844663965444;35,0;0,8669910816585266;28,971205077931373;5531,0;9,410733558181;0,5705844663965444
kodim23;50,0;32,108787755721295;0,9409174610330312;5257,0;9,204470444843029;0,5543065411612293;50,0;0,9409174610330312;32,108787755721295;5257,0;9,204470444843029;0,5543065411612293
kodim24;30,0;27,18856219759635;0,8721151960239717;5264,0;9,933124727863898;0,5595543248356402;35,0;0,8734982410441541;27,05464341766797;5602,0;9,845716806670378;0,5453011321813822
;35,0;28,875390553661635;0,8859675705069545;5329,125;9,588016553215652;0,5597805631686131;36,875;0,8864729399147234;28,85991659625852;5396,833333333333;9,565841081453613;0,5553766013083368
